,Edad,Genero,Vivienda,Ecivil,Ubicacion,Salario,Hijos,Catalogos,Monto,Historial
38,Joven,Femenino,Alquilada,Soltero,Lejos,11400,3,12,312.0,Bajo
39,Joven,Masculino,Alquilada,Casado,Cerca,34300,3,12,1297.0,Medio
40,Joven,Masculino,Alquilada,Soltero,Cerca,17000,0,18,581.0,Bajo
41,Media,Masculino,Propia,Soltero,Cerca,52900,1,24,2316.0,Medio
42,Joven,Femenino,Alquilada,Soltero,Cerca,14300,1,18,458.0,Bajo
43,Media,Femenino,Propia,Casado,Cerca,88200,0,24,2749.0,Alto
44,Joven,Femenino,Alquilada,Casado,Lejos,51900,0,6,780.0,Bajo
45,Joven,Femenino,Alquilada,Casado,Cerca,60100,0,18,1594.0,Bajo
46,Media,Femenino,Propia,Casado,Cerca,84800,1,12,1826.0,Alto
47,Joven,Femenino,Alquilada,Casado,Cerca,61700,0,12,1161.0,Bajo
48,Media,Femenino,Propia,Casado,Cerca,123600,1,12,1892.0,Alto
49,Media,Femenino,Propia,Soltero,Cerca,48700,1,12,1457.0,Bajo
50,Joven,Femenino,Alquilada,Casado,Cerca,40000,0,6,613.0,Bajo
51,Media,Femenino,Alquilada,Casado,Cerca,118300,1,18,2681.0,Alto
52,Adulta,Femenino,Propia,Soltero,Cerca,64600,0,6,1298.0,Bajo
53,Media,Masculino,Propia,Casado,Lejos,113800,0,12,3273.0,Alto
54,Joven,Femenino,Alquilada,Soltero,Cerca,26700,1,12,459.0,Bajo
55,Media,Masculino,Propia,Soltero,Lejos,68700,1,24,1699.0,Medio
56,Media,Femenino,Propia,Casado,Lejos,101700,1,24,2551.0,Alto
57,Joven,Femenino,Alquilada,Casado,Cerca,42300,0,6,856.0,Bajo
58,Adulta,Masculino,Propia,Soltero,Cerca,62200,0,12,1583.0,Medio
59,Joven,Femenino,Alquilada,Soltero,Cerca,11400,2,6,186.0,Bajo
60,Adulta,Femenino,Alquilada,Casado,Cerca,97000,0,24,2599.0,Alto
61,Joven,Femenino,Propia,Soltero,Lejos,29600,3,12,774.0,Bajo
62,Media,Masculino,Alquilada,Casado,Lejos,64000,1,6,1552.0,Alto
63,Joven,Femenino,Propia,Casado,Lejos,70900,0,6,690.0,Bajo
64,Joven,Femenino,Alquilada,Soltero,Cerca,23200,3,24,770.0,Bajo
65,Joven,Masculino,Alquilada,Soltero,Lejos,13900,0,24,570.0,Bajo
66,Adulta,Masculino,Alquilada,Casado,Lejos,66300,0,18,2243.0,Alto
67,Joven,Masculino,Alquilada,Soltero,Cerca,26100,1,6,494.0,Bajo
68,Media,Masculino,Alquilada,Soltero,Cerca,43200,0,24,917.0,Medio
69,Media,Femenino,Alquilada,Casado,Cerca,114100,1,24,1976.0,Alto
70,Media,Masculino,Propia,Casado,Cerca,97200,0,12,1634.0,Alto
71,Media,Masculino,Propia,Casado,Cerca,76100,0,6,719.0,Alto
72,Joven,Masculino,Alquilada,Soltero,Cerca,14200,1,24,400.0,Bajo
73,Joven,Femenino,Alquilada,Casado,Lejos,32700,1,18,1276.0,Bajo
74,Adulta,Femenino,Propia,Soltero,Cerca,43300,0,12,1584.0,Bajo
75,Joven,Masculino,Alquilada,Soltero,Lejos,19000,0,12,428.0,Bajo
76,Media,Femenino,Propia,Casado,Cerca,68200,1,6,818.0,Alto
77,Joven,Masculino,Propia,Soltero,Lejos,39600,0,12,1085.0,Bajo
78,Joven,Masculino,Alquilada,Casado,Lejos,67300,3,6,1212.0,Medio
79,Media,Masculino,Propia,Soltero,Cerca,59700,1,18,1422.0,Medio
80,Media,Femenino,Alquilada,Soltero,Cerca,34700,0,18,1615.0,Bajo
81,Media,Masculino,Propia,Soltero,Cerca,50600,3,6,713.0,Medio
82,Media,Masculino,Propia,Casado,Cerca,118600,1,12,1553.0,Alto
83,Media,Femenino,Propia,Casado,Cerca,130700,3,6,2070.0,Alto
84,Joven,Femenino,Alquilada,Soltero,Lejos,25600,2,18,426.0,Bajo
85,Media,Masculino,Alquilada,Casado,Cerca,63500,2,24,2321.0,Alto
86,Media,Masculino,Propia,Soltero,Cerca,55900,1,24,2555.0,Medio
87,Media,Masculino,Propia,Soltero,Lejos,53900,0,12,1186.0,Medio
88,Media,Masculino,Alquilada,Soltero,Lejos,55800,1,6,821.0,Medio
89,Media,Femenino,Alquilada,Soltero,Cerca,40200,1,12,881.0,Bajo
90,Joven,Masculino,Alquilada,Casado,Lejos,41500,3,24,1314.0,Medio
91,Joven,Masculino,Alquilada,Soltero,Cerca,20900,0,6,296.0,Bajo
92,Media,Femenino,Propia,Casado,Cerca,48900,3,18,915.0,Alto
93,Media,Masculino,Propia,Soltero,Cerca,60300,0,24,2091.0,Medio
94,Joven,Femenino,Alquilada,Soltero,Cerca,27000,1,24,1012.0,Bajo
95,Joven,Masculino,Alquilada,Soltero,Cerca,10200,2,12,333.0,Bajo
96,Media,Femenino,Propia,Soltero,Cerca,53300,3,6,508.0,Bajo
97,Media,Masculino,Propia,Casado,Cerca,70200,0,6,1583.0,Alto
98,Media,Masculino,Propia,Casado,Lejos,86100,1,12,1255.0,Alto
99,Joven,Femenino,Alquilada,Soltero,Cerca,10200,3,6,199.0,Bajo
100,Media,Masculino,Propia,Casado,Cerca,96300,2,18,3916.0,Alto
101,Media,Femenino,Alquilada,Soltero,Cerca,53700,2,12,1194.0,Bajo
102,Media,Masculino,Alquilada,Casado,Cerca,108300,2,12,2224.0,Alto
103,Joven,Masculino,Alquilada,Casado,Cerca,36600,0,6,587.0,Medio
104,Joven,Femenino,Propia,Soltero,Cerca,33400,1,6,617.0,Bajo
105,Media,Masculino,Propia,Casado,Lejos,70000,1,6,1227.0,Alto
106,Joven,Femenino,Alquilada,Soltero,Cerca,13300,1,6,236.0,Bajo
107,Joven,Masculino,Alquilada,Soltero,Cerca,14600,3,6,307.0,Bajo
108,Adulta,Masculino,Propia,Casado,Cerca,56600,0,24,1607.0,Alto
109,Adulta,Femenino,Alquilada,Soltero,Cerca,37000,1,6,632.0,Bajo
110,Adulta,Femenino,Propia,Casado,Lejos,22800,0,12,452.0,Alto
111,Media,Femenino,Propia,Casado,Cerca,59100,1,6,1426.0,Alto
112,Media,Masculino,Propia,Casado,Cerca,92300,1,24,2141.0,Alto
113,Joven,Masculino,Alquilada,Soltero,Cerca,11200,0,6,106.0,Bajo
114,Media,Masculino,Alquilada,Soltero,Lejos,42500,1,6,798.0,Medio
115,Media,Masculino,Propia,Soltero,Cerca,82800,0,6,1544.0,Medio
116,Joven,Masculino,Alquilada,Soltero,Lejos,21900,2,6,192.0,Bajo
117,Joven,Femenino,Alquilada,Casado,Cerca,36900,1,18,1480.0,Bajo
118,Media,Masculino,Propia,Casado,Cerca,97300,1,12,3048.0,Alto
119,Joven,Femenino,Alquilada,Soltero,Cerca,11500,3,6,157.0,Bajo
120,Joven,Femenino,Alquilada,Soltero,Cerca,21900,1,12,576.0,Bajo
121,Joven,Femenino,Alquilada,Soltero,Lejos,23200,2,24,788.0,Bajo
122,Adulta,Masculino,Propia,Casado,Cerca,73300,0,12,1694.0,Alto
123,Adulta,Femenino,Propia,Soltero,Cerca,35200,0,12,827.0,Bajo
124,Joven,Femenino,Alquilada,Soltero,Cerca,13100,0,18,314.0,Bajo
125,Media,Masculino,Propia,Soltero,Lejos,45000,1,18,902.0,Medio
126,Media,Masculino,Propia,Soltero,Cerca,49900,1,24,1631.0,Medio
127,Media,Femenino,Propia,Soltero,Cerca,47900,0,12,1090.0,Bajo
128,Media,Masculino,Propia,Casado,Cerca,96600,0,12,1437.0,Alto
129,Joven,Masculino,Alquilada,Soltero,Cerca,31600,1,12,476.0,Bajo
130,Joven,Masculino,Propia,Soltero,Cerca,33400,0,12,567.0,Bajo
131,Media,Femenino,Alquilada,Casado,Cerca,68800,0,6,1658.0,Alto
132,Media,Masculino,Propia,Soltero,Cerca,45800,0,6,712.0,Medio
133,Media,Masculino,Propia,Casado,Cerca,69900,1,18,2101.0,Alto
134,Media,Masculino,Propia,Casado,Cerca,97100,0,12,1473.0,Alto
135,Media,Femenino,Propia,Soltero,Lejos,62500,3,6,921.0,Bajo
136,Joven,Masculino,Alquilada,Casado,Lejos,60300,1,6,1252.0,Medio
137,Media,Masculino,Propia,Casado,Cerca,70400,2,12,1127.0,Alto
138,Joven,Femenino,Alquilada,Soltero,Cerca,11000,2,18,393.0,Bajo
139,Media,Masculino,Propia,Soltero,Cerca,61600,0,18,1666.0,Medio
140,Media,Masculino,Propia,Casado,Cerca,88700,1,18,2448.0,Alto
141,Media,Femenino,Alquilada,Casado,Cerca,81400,2,6,1014.0,Alto
142,Media,Femenino,Propia,Soltero,Cerca,43300,1,18,1021.0,Bajo
143,Joven,Femenino,Alquilada,Casado,Cerca,79400,0,6,1175.0,Bajo
144,Joven,Masculino,Alquilada,Soltero,Cerca,21200,0,12,417.0,Bajo
145,Adulta,Femenino,Alquilada,Soltero,Lejos,20400,0,24,513.0,Bajo
146,Media,Masculino,Alquilada,Soltero,Cerca,52400,0,18,857.0,Medio
147,Adulta,Masculino,Propia,Soltero,Cerca,58700,0,24,1479.0,Medio
148,Media,Femenino,Propia,Casado,Cerca,62200,3,24,2119.0,Alto
149,Joven,Femenino,Alquilada,Soltero,Cerca,16900,2,6,281.0,Bajo
150,Joven,Masculino,Alquilada,Casado,Cerca,56300,0,24,1608.0,Medio
151,Joven,Femenino,Alquilada,Soltero,Cerca,15000,2,12,341.0,Bajo
152,Joven,Masculino,Alquilada,Soltero,Lejos,17800,1,18,589.0,Bajo
153,Joven,Masculino,Alquilada,Soltero,Cerca,15200,0,12,324.0,Bajo
154,Adulta,Masculino,Propia,Soltero,Cerca,51400,0,6,694.0,Medio
155,Joven,Femenino,Propia,Soltero,Cerca,21600,2,12,491.0,Bajo
156,Joven,Femenino,Propia,Soltero,Lejos,31900,0,12,860.0,Bajo
157,Media,Femenino,Alquilada,Soltero,Lejos,45500,1,18,1624.0,Bajo
158,Adulta,Femenino,Propia,Soltero,Cerca,12800,0,12,230.0,Bajo
159,Media,Masculino,Propia,Casado,Cerca,84700,3,24,2705.0,Alto
160,Joven,Masculino,Alquilada,Casado,Cerca,41500,0,24,1213.0,Medio
161,Media,Masculino,Propia,Soltero,Cerca,68900,2,18,2784.0,Medio
162,Media,Femenino,Propia,Casado,Cerca,80800,1,18,1598.0,Alto
163,Adulta,Femenino,Propia,Soltero,Cerca,39900,0,6,619.0,Bajo
164,Adulta,Femenino,Propia,Casado,Cerca,61000,0,18,1850.0,Alto
165,Adulta,Masculino,Propia,Soltero,Cerca,38700,0,24,1506.0,Medio
166,Media,Masculino,Propia,Casado,Lejos,98900,0,18,3126.0,Alto
167,Media,Masculino,Propia,Soltero,Cerca,64300,0,6,1325.0,Medio
168,Media,Femenino,Propia,Casado,Cerca,75600,0,12,1541.0,Alto
169,Joven,Masculino,Propia,Casado,Cerca,73000,0,6,1534.0,Medio
170,Joven,Masculino,Propia,Soltero,Cerca,29600,3,12,583.0,Bajo
171,Media,Masculino,Alquilada,Casado,Cerca,92900,1,6,1705.0,Alto
172,Joven,Femenino,Propia,Soltero,Cerca,27500,3,12,571.0,Bajo
173,Joven,Masculino,Alquilada,Soltero,Cerca,17600,0,6,245.0,Bajo
174,Media,Femenino,Propia,Soltero,Cerca,35800,1,24,1355.0,Bajo
175,Media,Masculino,Alquilada,Soltero,Lejos,50000,1,6,1079.0,Medio
176,Media,Femenino,Propia,Casado,Cerca,59900,1,6,613.0,Alto
177,Joven,Femenino,Alquilada,Soltero,Lejos,13600,1,18,349.0,Bajo
178,Joven,Femenino,Alquilada,Soltero,Cerca,14200,0,6,192.0,Bajo
179,Media,Masculino,Alquilada,Soltero,Cerca,54200,0,18,1405.0,Medio
180,Adulta,Masculino,Propia,Casado,Cerca,102700,0,18,2381.0,Alto
181,Joven,Masculino,Alquilada,Soltero,Cerca,21400,0,12,414.0,Bajo
182,Joven,Femenino,Alquilada,Soltero,Cerca,21700,2,6,387.0,Bajo
183,Joven,Femenino,Alquilada,Soltero,Lejos,12500,1,12,422.0,Bajo
184,Media,Femenino,Alquilada,Soltero,Lejos,31200,3,24,1087.0,Bajo
185,Joven,Femenino,Alquilada,Soltero,Cerca,13700,1,6,163.0,Bajo
186,Joven,Femenino,Propia,Casado,Lejos,55900,1,6,788.0,Bajo
187,Joven,Femenino,Alquilada,Soltero,Lejos,13700,2,24,414.0,Bajo
188,Media,Femenino,Propia,Casado,Cerca,82200,1,12,1517.0,Alto
189,Media,Masculino,Propia,Casado,Lejos,65400,3,6,836.0,Alto
190,Joven,Masculino,Alquilada,Casado,Lejos,63300,3,6,1408.0,Medio
191,Joven,Masculino,Alquilada,Casado,Lejos,51600,0,12,1082.0,Medio
192,Joven,Masculino,Alquilada,Casado,Lejos,55000,0,12,1162.0,Medio
193,Joven,Femenino,Propia,Soltero,Lejos,16300,0,12,360.0,Bajo
194,Joven,Femenino,Alquilada,Soltero,Cerca,12500,3,12,206.0,Bajo
195,Media,Femenino,Propia,Soltero,Cerca,41300,1,18,932.0,Bajo
196,Media,Masculino,Propia,Casado,Cerca,102400,1,12,2466.0,Alto
197,Joven,Femenino,Propia,Soltero,Lejos,27900,1,12,576.0,Bajo
198,Adulta,Masculino,Alquilada,Casado,Lejos,23800,0,12,428.0,Alto
199,Media,Masculino,Propia,Casado,Cerca,65800,1,12,1017.0,Alto
200,Media,Femenino,Propia,Soltero,Cerca,51900,2,12,1162.0,Bajo
201,Media,Femenino,Propia,Casado,Cerca,111900,1,12,2340.0,Alto
202,Media,Masculino,Propia,Casado,Cerca,82400,3,18,2122.0,Alto
203,Media,Masculino,Alquilada,Casado,Lejos,64600,2,24,2935.0,Alto
204,Media,Femenino,Propia,Soltero,Cerca,43100,0,24,1444.0,Bajo
205,Adulta,Masculino,Propia,Casado,Cerca,84500,0,12,1557.0,Alto
206,Joven,Femenino,Alquilada,Casado,Cerca,61000,1,18,1611.0,Bajo
207,Adulta,Femenino,Propia,Casado,Lejos,79300,0,12,2047.0,Alto
208,Media,Femenino,Alquilada,Soltero,Lejos,37800,2,12,1185.0,Bajo
209,Media,Masculino,Propia,Casado,Cerca,71600,1,12,1198.0,Alto
210,Media,Masculino,Alquilada,Soltero,Lejos,58600,2,6,989.0,Medio
211,Media,Femenino,Propia,Casado,Cerca,131500,3,6,2840.0,Alto
212,Joven,Masculino,Alquilada,Soltero,Lejos,22900,1,12,814.0,Bajo
213,Joven,Femenino,Alquilada,Soltero,Lejos,12800,1,24,365.0,Bajo
214,Joven,Femenino,Alquilada,Soltero,Cerca,14100,3,6,153.0,Bajo
215,Media,Masculino,Alquilada,Soltero,Cerca,52100,0,12,1668.0,Medio
216,Joven,Femenino,Alquilada,Soltero,Cerca,22600,3,6,521.0,Bajo
217,Media,Masculino,Alquilada,Soltero,Cerca,55100,2,6,826.0,Medio
218,Media,Femenino,Alquilada,Casado,Cerca,66500,1,24,1181.0,Alto
219,Joven,Masculino,Alquilada,Soltero,Cerca,10200,0,24,362.0,Bajo
220,Adulta,Masculino,Propia,Casado,Lejos,74500,0,18,1413.0,Alto
221,Media,Femenino,Propia,Soltero,Cerca,60200,1,12,1748.0,Bajo
222,Joven,Masculino,Alquilada,Soltero,Lejos,14800,1,12,376.0,Bajo
223,Media,Masculino,Propia,Casado,Cerca,106400,0,12,1757.0,Alto
224,Media,Masculino,Alquilada,Soltero,Cerca,39500,1,6,412.0,Medio
225,Media,Masculino,Propia,Casado,Cerca,122700,1,18,4984.0,Alto
226,Media,Masculino,Propia,Casado,Lejos,75500,0,18,2450.0,Alto
227,Media,Masculino,Propia,Soltero,Cerca,62900,0,24,2561.0,Medio
228,Media,Femenino,Alquilada,Soltero,Cerca,46600,0,12,546.0,Bajo
229,Joven,Femenino,Alquilada,Soltero,Cerca,24000,2,6,362.0,Bajo
230,Media,Femenino,Propia,Soltero,Cerca,72200,0,18,3278.0,Bajo
231,Adulta,Femenino,Alquilada,Soltero,Cerca,14900,0,12,275.0,Bajo
232,Joven,Masculino,Alquilada,Casado,Cerca,41600,3,24,1634.0,Medio
233,Media,Femenino,Propia,Casado,Cerca,68500,2,12,1500.0,Alto
234,Adulta,Femenino,Propia,Soltero,Cerca,35900,0,12,962.0,Bajo
235,Joven,Femenino,Alquilada,Casado,Cerca,36500,1,18,747.0,Bajo
236,Adulta,Masculino,Propia,Casado,Cerca,85300,0,12,2523.0,Alto
237,Joven,Femenino,Alquilada,Casado,Lejos,33200,1,24,1639.0,Bajo
238,Media,Femenino,Alquilada,Soltero,Cerca,35300,0,18,1369.0,Bajo
239,Joven,Masculino,Alquilada,Soltero,Cerca,21300,1,12,329.0,Bajo
240,Media,Masculino,Propia,Soltero,Cerca,63700,0,6,1351.0,Medio
241,Adulta,Femenino,Alquilada,Soltero,Cerca,11000,0,24,195.0,Bajo
242,Media,Femenino,Alquilada,Casado,Cerca,95900,0,24,3168.0,Alto
243,Media,Femenino,Propia,Casado,Cerca,76600,3,24,2904.0,Alto
244,Media,Femenino,Alquilada,Casado,Lejos,92400,1,6,2191.0,Alto
245,Media,Masculino,Propia,Casado,Lejos,95800,3,12,2581.0,Alto
246,Media,Masculino,Alquilada,Soltero,Cerca,49100,0,6,934.0,Medio
247,Joven,Femenino,Alquilada,Soltero,Cerca,10600,2,24,517.0,Bajo
248,Joven,Femenino,Alquilada,Casado,Cerca,76400,0,12,2216.0,Bajo
249,Media,Masculino,Propia,Soltero,Cerca,55600,0,12,952.0,Medio
250,Media,Femenino,Propia,Casado,Cerca,72600,1,18,1999.0,Alto
251,Joven,Masculino,Alquilada,Soltero,Lejos,19500,0,24,571.0,Bajo
252,Joven,Femenino,Alquilada,Soltero,Cerca,17200,1,12,329.0,Bajo
253,Joven,Femenino,Alquilada,Casado,Cerca,47300,0,6,640.0,Bajo
254,Joven,Femenino,Propia,Soltero,Lejos,32000,1,24,1320.0,Bajo
255,Media,Masculino,Alquilada,Soltero,Cerca,43700,0,18,1344.0,Medio
256,Adulta,Femenino,Propia,Casado,Cerca,22400,0,24,947.0,Alto
257,Media,Masculino,Alquilada,Casado,Lejos,70500,1,24,2145.0,Alto
258,Media,Femenino,Propia,Soltero,Lejos,25300,1,6,451.0,Bajo
259,Joven,Femenino,Alquilada,Soltero,Cerca,15900,0,18,406.0,Bajo
260,Joven,Masculino,Propia,Soltero,Cerca,23200,0,24,534.0,Bajo
261,Joven,Femenino,Propia,Casado,Cerca,42400,1,18,1166.0,Bajo
262,Adulta,Masculino,Propia,Soltero,Cerca,40200,2,18,1197.0,Medio
263,Joven,Femenino,Alquilada,Soltero,Cerca,25100,1,6,421.0,Bajo
264,Media,Femenino,Propia,Soltero,Cerca,46300,3,6,1138.0,Bajo
265,Adulta,Femenino,Propia,Casado,Lejos,74900,0,12,1804.0,Alto
266,Media,Masculino,Propia,Casado,Cerca,99200,3,12,2796.0,Alto
267,Media,Masculino,Propia,Casado,Cerca,84100,3,6,1352.0,Alto
268,Media,Femenino,Alquilada,Soltero,Cerca,47000,0,6,963.0,Bajo
269,Media,Masculino,Propia,Casado,Cerca,102700,3,12,1473.0,Alto
270,Media,Masculino,Propia,Casado,Cerca,100100,2,6,1597.0,Alto
271,Media,Masculino,Alquilada,Casado,Cerca,87400,2,18,2729.0,Alto
272,Adulta,Masculino,Alquilada,Casado,Lejos,66200,0,6,1024.0,Alto
273,Joven,Femenino,Alquilada,Soltero,Cerca,29200,3,6,636.0,Bajo
274,Media,Masculino,Alquilada,Soltero,Lejos,52600,1,18,1773.0,Medio
275,Media,Masculino,Alquilada,Casado,Lejos,97600,1,12,2902.0,Alto
276,Joven,Femenino,Alquilada,Soltero,Lejos,13200,0,18,512.0,Bajo
277,Adulta,Femenino,Alquilada,Soltero,Lejos,22600,0,12,865.0,Bajo
278,Joven,Masculino,Alquilada,Soltero,Lejos,14900,1,12,422.0,Bajo
279,Media,Femenino,Propia,Soltero,Cerca,36700,1,6,529.0,Bajo
280,Media,Masculino,Alquilada,Soltero,Cerca,43100,1,12,1224.0,Medio
281,Media,Femenino,Alquilada,Casado,Cerca,75200,1,24,2702.0,Alto
282,Joven,Femenino,Alquilada,Soltero,Cerca,25300,3,6,510.0,Bajo
283,Adulta,Femenino,Propia,Soltero,Cerca,33000,3,6,700.0,Bajo
284,Media,Femenino,Alquilada,Soltero,Cerca,33200,1,6,320.0,Bajo
285,Joven,Masculino,Alquilada,Casado,Cerca,49300,0,24,1692.0,Medio
286,Media,Masculino,Propia,Casado,Cerca,123800,2,18,3537.0,Alto
287,Media,Masculino,Propia,Casado,Cerca,101700,1,6,941.0,Alto
288,Joven,Masculino,Alquilada,Soltero,Cerca,17600,0,6,273.0,Bajo
289,Joven,Femenino,Alquilada,Soltero,Cerca,19400,1,18,384.0,Bajo
290,Media,Masculino,Alquilada,Soltero,Lejos,40500,1,18,1073.0,Medio
291,Media,Femenino,Propia,Casado,Lejos,83100,1,12,1816.0,Alto
292,Joven,Masculino,Alquilada,Casado,Cerca,66700,0,18,1454.0,Medio
293,Media,Femenino,Propia,Soltero,Cerca,46600,2,18,1011.0,Bajo
294,Media,Femenino,Propia,Soltero,Lejos,66800,3,24,1457.0,Bajo
295,Joven,Masculino,Alquilada,Soltero,Cerca,19100,0,6,405.0,Bajo
296,Media,Masculino,Propia,Casado,Cerca,53700,1,12,1168.0,Alto
297,Joven,Femenino,Propia,Soltero,Cerca,27800,3,12,597.0,Bajo
298,Media,Masculino,Propia,Casado,Lejos,118400,2,12,2594.0,Alto
299,Joven,Masculino,Alquilada,Soltero,Lejos,20800,0,6,443.0,Bajo
300,Media,Masculino,Propia,Soltero,Cerca,60200,3,12,1311.0,Medio
301,Joven,Masculino,Alquilada,Soltero,Cerca,17900,0,18,379.0,Bajo
302,Joven,Femenino,Alquilada,Soltero,Cerca,12400,1,12,257.0,Bajo
0,Adulta,Femenino,Propia,Soltero,Lejos,47500,0,6,755.0,Alto
1,Media,Masculino,Alquilada,Soltero,Cerca,63600,0,6,1318.0,Alto
2,Joven,Femenino,Alquilada,Soltero,Cerca,13500,0,18,296.0,Bajo
3,Media,Masculino,Propia,Casado,Cerca,85600,1,18,2436.0,Alto
4,Joven,Masculino,Propia,Casado,Cerca,30400,0,6,495.0,Bajo
5,Media,Femenino,Alquilada,Soltero,Cerca,48100,0,12,782.0,Medio
6,Media,Masculino,Propia,Soltero,Cerca,68400,0,18,1155.0,Alto
7,Media,Femenino,Propia,Casado,Cerca,51900,3,6,158.0,Bajo
8,Media,Masculino,Propia,Casado,Lejos,111800,3,18,2065.0,Alto
9,Media,Femenino,Propia,Casado,Cerca,44100,1,24,704.0,Medio
10,Media,Masculino,Propia,Casado,Cerca,111400,0,12,2136.0,Alto
11,Adulta,Femenino,Propia,Casado,Lejos,110000,0,24,5564.0,Alto
12,Adulta,Femenino,Propia,Casado,Cerca,82800,0,24,3010.0,Alto
13,Media,Masculino,Propia,Casado,Cerca,90100,0,18,1956.0,Alto
14,Media,Masculino,Alquilada,Soltero,Cerca,38600,1,18,542.0,Bajo
15,Adulta,Femenino,Alquilada,Soltero,Lejos,14000,0,12,410.0,Bajo
16,Joven,Femenino,Alquilada,Soltero,Lejos,14300,2,6,194.0,Bajo
17,Joven,Masculino,Alquilada,Casado,Cerca,49800,0,12,827.0,Medio
18,Adulta,Femenino,Alquilada,Casado,Lejos,60200,0,18,2328.0,Alto
19,Joven,Masculino,Alquilada,Casado,Lejos,43500,1,12,808.0,Medio
20,Media,Femenino,Propia,Casado,Cerca,92300,3,18,655.0,Bajo
21,Media,Femenino,Alquilada,Casado,Lejos,72900,0,18,2075.0,Alto
22,Media,Femenino,Alquilada,Casado,Cerca,66900,2,12,769.0,Medio
23,Adulta,Femenino,Alquilada,Casado,Cerca,39700,0,12,573.0,Medio
24,Media,Masculino,Alquilada,Casado,Lejos,72200,1,12,2082.0,Alto
25,Media,Masculino,Propia,Casado,Cerca,104100,0,24,2636.0,Alto
26,Media,Masculino,Alquilada,Soltero,Lejos,67700,0,12,2226.0,Alto
27,Media,Femenino,Propia,Soltero,Cerca,27000,2,6,183.0,Bajo
28,Media,Femenino,Propia,Soltero,Lejos,64100,2,24,1595.0,Alto
29,Media,Masculino,Alquilada,Soltero,Cerca,47000,1,12,584.0,Medio
30,Adulta,Femenino,Alquilada,Soltero,Cerca,20100,0,24,576.0,Bajo
31,Media,Masculino,Propia,Soltero,Cerca,64000,3,12,410.0,Bajo
32,Adulta,Femenino,Alquilada,Casado,Lejos,81500,0,18,3655.0,Alto
33,Media,Femenino,Propia,Soltero,Cerca,49600,1,12,844.0,Medio
